_id,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
66734b1786b85319e22b6731,1.0,11087,12,3,18,55,10,25,15,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b672f,1.0,13302,1,3,16,50,21,35,4,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b6735,1.0,8907,1,6,9,45,23,0,13,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b672b,0.0,3897,24,3,22,20,1,10,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b673f,1.0,19495,6,3,14,10,19,20,5,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b675e,1.0,12121,1,5,9,35,10,55,25,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6760,0.0,3943,18,6,21,15,0,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66734b1786b85319e22b6752,1.0,14924,3,6,7,5,19,0,11,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6737,0.0,4667,24,6,11,40,13,55,2,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
66734b1786b85319e22b672d,2.0,13882,9,6,9,25,4,25,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6732,1.0,22270,1,3,8,0,5,5,21,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b674e,1.0,5894,27,6,10,35,21,0,10,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6753,1.0,9646,21,5,7,5,18,10,11,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6762,1.0,14231,24,3,19,45,12,0,16,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6765,1.0,8073,6,5,19,0,1,30,6,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b676a,1.0,7191,15,5,15,0,1,30,10,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b672c,2.0,7662,1,5,5,50,13,15,7,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6734,1.0,8625,27,5,11,25,19,15,7,50,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b672e,1.0,6218,12,5,18,5,23,30,5,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6739,0.0,4804,24,4,17,15,19,50,2,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b673e,1.0,12898,27,5,16,0,12,35,20,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6736,0.0,4174,18,4,20,20,22,55,2,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b674f,1.0,4649,21,5,15,5,20,20,5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6751,1.0,19225,6,3,7,0,13,15,6,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b675a,0.0,4667,3,5,11,40,13,55,2,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
66734b1786b85319e22b673d,2.0,13381,12,6,20,15,19,15,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6744,2.0,13292,9,6,21,25,12,35,15,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6745,1.0,8238,1,6,21,50,3,35,5,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6750,0.0,6245,18,5,14,15,16,45,2,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b673b,1.0,5830,15,4,8,45,13,15,4,30,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6740,1.0,6955,21,3,22,0,13,20,15,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b673c,1.0,10262,12,6,14,0,12,35,22,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6747,0.0,4668,18,6,9,45,12,35,2,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
66734b1786b85319e22b6758,0.0,3527,24,3,5,45,8,35,2,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b6764,0.0,7414,6,3,7,5,9,20,2,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
66734b1786b85319e22b6768,1.0,5117,3,4,6,5,9,25,27,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6742,0.0,4823,1,5,18,55,21,50,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66734b1786b85319e22b673a,2.0,14011,3,3,16,40,19,15,26,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6746,1.0,7682,15,5,7,0,12,55,5,55,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b674c,2.0,10919,15,6,14,35,12,35,22,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6754,1.0,8714,15,3,6,45,15,15,8,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b6763,2.0,17345,1,3,8,50,23,55,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b674d,1.0,12373,18,5,7,5,12,35,5,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b674a,2.0,13227,1,5,9,50,23,15,13,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6755,1.0,12373,18,5,20,55,19,0,22,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b675d,0.0,7202,9,3,11,0,14,15,3,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b674b,0.0,4423,6,4,4,0,6,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66734b1786b85319e22b6756,0.0,3383,6,5,11,10,13,55,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66734b1786b85319e22b6769,1.0,12524,3,6,8,45,19,0,10,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6730,0.0,3873,24,6,9,0,11,25,2,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6757,1.0,13062,21,3,9,0,21,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b675c,2.0,11150,27,6,23,5,19,0,19,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66734b1786b85319e22b6738,1.0,9663,9,5,21,10,9,20,12,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6733,1.0,11087,12,3,8,55,10,25,25,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b6748,0.0,3687,15,6,7,5,9,20,2,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
66734b1786b85319e22b675f,0.0,4377,24,3,22,20,1,10,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66734b1786b85319e22b6761,0.0,4483,3,4,23,55,2,45,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66734b1786b85319e22b6767,1.0,8366,6,6,9,25,21,50,12,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66734b1786b85319e22b6749,0.0,3687,18,6,7,5,9,20,2,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
