iter	RMSE
0	4275.061836
1	4019.402385
2	3778.400996
3	3576.877751
4	3408.135257
5	3253.667548
6	3118.215934
7	3004.773834
8	2897.737214
9	2801.653711
10	2720.466165
11	2645.334939
12	2598.501391
13	2550.543627
14	2501.834527
15	2458.546021
16	2418.509881
17	2381.118026
18	2349.556068
19	2320.681646
20	2291.550461
21	2265.940436
22	2248.755707
23	2232.723138
24	2207.354299
25	2180.82705
26	2159.979867
27	2140.013749
28	2123.274783
29	2111.409089
30	2094.975336
31	2093.071985
32	2083.036758
33	2072.681199
34	2056.423528
35	2049.697329
36	2041.381435
37	2027.478922
38	2011.211454
39	2003.782434
40	1992.402298
41	1986.107668
42	1974.336259
43	1968.458218
44	1957.411635
45	1950.807417
46	1940.75553
47	1930.414054
48	1924.59862
49	1910.128682
50	1901.706262
51	1893.874639
52	1887.502718
53	1879.999267
54	1872.252047
55	1868.088275
56	1856.774708
57	1847.660108
58	1841.842797
59	1836.906709
60	1827.770535
61	1822.673459
62	1814.522541
63	1807.158817
64	1801.41797
65	1794.16332
66	1789.22127
67	1776.399663
68	1773.360958
69	1765.395232
70	1760.604431
71	1753.111621
72	1748.261588
73	1747.950253
74	1744.310011
75	1738.760658
76	1736.636839
77	1729.408473
78	1721.609809
79	1715.389072
80	1710.880104
81	1705.877242
82	1702.750252
83	1702.44078
84	1698.469681
85	1693.546307
86	1688.85602
87	1685.168284
88	1683.369321
89	1681.334277
90	1675.896103
91	1666.425475
92	1661.79688
93	1659.140869
94	1655.372612
95	1648.814236
96	1644.759765
97	1641.369625
98	1635.769121
99	1630.967659
