iter	Passed	Remaining
0	15	1528
1	32	1570
2	48	1578
3	66	1600
4	85	1616
5	103	1614
6	125	1665
7	144	1660
8	160	1619
9	179	1619
10	197	1599
11	207	1519
12	213	1426
13	231	1422
14	252	1429
15	270	1419
16	287	1404
17	305	1393
18	329	1403
19	354	1417
20	376	1414
21	393	1396
22	411	1378
23	429	1359
24	445	1337
25	464	1321
26	480	1299
27	497	1280
28	516	1264
29	533	1245
30	550	1224
31	551	1171
32	569	1156
33	588	1143
34	606	1126
35	624	1110
36	642	1093
37	660	1077
38	675	1057
39	694	1041
40	711	1023
41	729	1007
42	747	991
43	763	971
44	781	954
45	801	940
46	820	924
47	837	907
48	856	891
49	874	874
50	894	859
51	914	843
52	932	827
53	952	811
54	969	793
55	986	775
56	1005	758
57	1023	740
58	1039	722
59	1057	705
60	1073	686
61	1091	668
62	1107	650
63	1123	632
64	1140	614
65	1159	597
66	1177	580
67	1195	562
68	1215	546
69	1233	528
70	1251	511
71	1268	493
72	1287	476
73	1289	453
74	1306	435
75	1324	418
76	1340	400
77	1358	383
78	1379	366
79	1397	349
80	1414	331
81	1434	314
82	1453	297
83	1456	277
84	1474	260
85	1491	242
86	1508	225
87	1527	208
88	1543	190
89	1560	173
90	1577	156
91	1595	138
92	1613	121
93	1630	104
94	1648	86
95	1664	69
96	1682	52
97	1698	34
98	1716	17
99	1733	0
